Trade #	Signal	Entry Date	Buy Price	Sell Price	Exit Date	P/L per Token	P/L %	Drawdown
1	Long	2022-08-01 1:27	$10.43	$9.88	2022-08-01 22:20	-$0.55	-5.27%	5.35%
2	Long	2022-08-02 1:46	$9.91	$10.11	2022-08-02 9:30	$0.20	1.98%	1.49%
3	Long	2022-08-02 10:16	$10.06	$10.21	2022-08-02 11:51	$0.15	1.45%	0.39%
4	Long	2022-08-02 13:32	$10.10	$10.23	2022-08-03 4:26	$0.14	1.36%	4.58%
5	Long	2022-08-03 9:42	$10.27	$10.49	2022-08-03 11:48	$0.22	2.09%	0.20%
6	Long	2022-08-03 12:12	$10.42	$10.54	2022-08-04 1:16	$0.12	1.14%	3.24%
7	Long	2022-08-04 1:22	$10.40	$10.54	2022-08-04 21:08	$0.14	1.36%	2.55%
8	Long	2022-08-05 0:38	$10.66	$10.81	2022-08-05 6:50	$0.15	1.44%	0.96%
9	Long	2022-08-05 7:49	$10.65	$10.90	2022-08-05 9:14	$0.25	2.34%	0.57%
10	Long	2022-08-05 10:18	$10.78	$10.92	2022-08-05 19:08	$0.14	1.28%	1.87%
11	Long	2022-08-05 19:48	$10.90	$11.18	2022-08-07 7:02	$0.28	2.54%	4.10%
12	Long	2022-08-07 10:17	$11.24	$11.43	2022-08-07 11:43	$0.19	1.66%	0.22%
13	Long	2022-08-07 20:38	$11.25	$11.41	2022-08-07 23:06	$0.16	1.45%	0.40%
14	Long	2022-08-08 0:55	$11.45	$11.60	2022-08-08 2:02	$0.15	1.29%	0.12%
15	Long	2022-08-08 8:09	$11.76	$11.93	2022-08-08 9:00	$0.17	1.46%	0.42%
16	Long	2022-08-08 9:38	$11.97	$12.18	2022-08-09 0:35	$0.21	1.76%	3.21%
17	Long	2022-08-09 1:01	$12.11	$11.49	2022-08-09 4:44	-$0.61	-5.06%	5.19%
18	Long	2022-08-09 9:09	$11.09	$11.49	2022-08-09 16:41	$0.40	3.63%	0.21%
19	Long	2022-08-09 18:51	$11.38	$10.78	2022-08-09 21:19	-$0.60	-5.24%	6.17%
20	Long	2022-08-10 0:19	$10.80	$10.96	2022-08-10 6:32	$0.16	1.45%	1.05%
21	Long	2022-08-10 11:44	$11.74	$11.92	2022-08-10 16:01	$0.18	1.57%	0.39%
22	Long	2022-08-10 19:29	$11.86	$12.03	2022-08-10 19:59	$0.16	1.38%	0.24%
23	Long	2022-08-10 21:20	$11.87	$12.08	2022-08-11 0:18	$0.21	1.75%	0.13%
24	Long	2022-08-11 4:54	$12.05	$11.44	2022-08-12 6:34	-$0.61	-5.09%	5.33%
25	Long	2022-08-12 9:43	$11.69	$11.86	2022-08-12 14:52	$0.17	1.47%	0.33%
26	Long	2022-08-12 15:19	$11.83	$11.99	2022-08-12 18:32	$0.16	1.34%	0.32%
27	Long	2022-08-13 1:54	$12.18	$12.33	2022-08-13 2:33	$0.14	1.16%	0.08%
28	Long	2022-08-13 3:47	$12.27	$11.65	2022-08-14 11:45	-$0.62	-5.01%	5.32%
29	Long	2022-08-14 11:50	$11.58	$11.86	2022-08-14 21:46	$0.28	2.41%	1.17%
30	Long	2022-08-14 23:06	$11.75	$11.90	2022-08-17 20:18	$0.15	1.28%	5.00%
31	Long	2022-08-17 22:41	$12.09	$11.45	2022-08-18 18:20	-$0.64	-5.28%	5.37%
32	Long	2022-08-18 19:20	$11.22	$10.64	2022-08-19 1:35	-$0.58	-5.18%	5.70%
33	Long	2022-08-19 8:57	$10.63	$10.86	2022-08-19 9:33	$0.23	2.14%	0.08%
34	Long	2022-08-19 12:00	$10.95	$10.39	2022-08-20 12:09	-$0.55	-5.05%	5.36%
35	Long	2022-08-20 15:54	$10.07	$10.25	2022-08-20 17:02	$0.17	1.73%	1.11%
36	Long	2022-08-20 22:48	$10.26	$10.39	2022-08-21 0:56	$0.13	1.28%	0.08%
37	Long	2022-08-21 10:28	$10.60	$10.74	2022-08-21 16:29	$0.14	1.33%	0.29%
38	Long	2022-08-21 16:42	$10.66	$10.11	2022-08-22 3:20	-$0.55	-5.18%	5.26%
39	Long	2022-08-22 4:34	$10.17	$10.32	2022-08-22 5:45	$0.15	1.44%	0.17%
40	Long	2022-08-22 12:14	$10.84	$11.00	2022-08-22 18:47	$0.16	1.49%	1.53%
41	Long	2022-08-22 19:55	$10.97	$11.32	2022-08-22 20:13	$0.36	3.24%	0.08%
42	Long	2022-08-22 23:30	$11.67	$11.87	2022-08-23 13:28	$0.21	1.77%	2.96%
43	Long	2022-08-23 15:43	$11.88	$12.12	2022-08-23 16:10	$0.24	2.02%	0.21%
44	Long	2022-08-23 16:49	$11.98	$12.17	2022-08-23 18:21	$0.20	1.65%	0.24%
45	Long	2022-08-23 20:24	$11.84	$12.14	2022-08-24 9:26	$0.29	2.47%	2.17%
46	Long	2022-08-24 15:09	$13.02	$13.18	2022-08-24 16:05	$0.16	1.22%	0.21%
47	Long	2022-08-24 16:35	$13.13	$12.45	2022-08-26 2:15	-$0.68	-5.15%	5.36%
48	Long	2022-08-26 4:53	$12.39	$12.56	2022-08-26 7:37	$0.17	1.39%	2.41%
49	Long	2022-08-26 10:05	$12.41	$11.77	2022-08-26 13:29	-$0.63	-5.10%	5.31%
50	Long	2022-08-26 16:25	$11.94	$11.30	2022-08-26 19:18	-$0.64	-5.32%	5.40%
51	Long	2022-08-26 23:43	$10.89	$11.11	2022-08-27 8:52	$0.22	2.01%	1.96%
52	Long	2022-08-27 10:20	$10.89	$11.03	2022-08-27 10:58	$0.14	1.29%	0.50%
53	Long	2022-08-27 12:53	$11.09	$11.24	2022-08-27 17:43	$0.15	1.33%	1.39%
54	Long	2022-08-27 18:57	$11.17	$11.32	2022-08-27 19:51	$0.15	1.30%	1.33%
55	Long	2022-08-28 0:24	$11.13	$10.57	2022-08-28 18:44	-$0.56	-5.01%	5.28%
56	Long	2022-08-28 19:59	$10.28	$10.49	2022-08-28 22:40	$0.21	2.06%	1.13%
57	Long	2022-08-28 23:28	$10.42	$10.83	2022-08-29 7:35	$0.41	3.97%	1.78%
58	Long	2022-08-29 11:35	$11.30	$11.66	2022-08-29 18:46	$0.36	3.22%	1.84%
59	Long	2022-08-30 0:45	$11.55	$11.80	2022-08-30 4:45	$0.24	2.10%	0.88%
60	Long	2022-08-30 8:48	$11.72	$11.87	2022-08-30 15:49	$0.16	1.35%	5.20%
61	Long	2022-08-30 16:55	$11.80	$12.07	2022-08-30 17:53	$0.28	2.33%	0.75%
62	Long	2022-08-30 18:14	$12.00	$12.17	2022-08-30 23:51	$0.17	1.43%	1.78%
63	Long	2022-08-31 0:55	$12.00	$12.13	2022-08-31 7:24	$0.13	1.09%	2.18%
64	Long	2022-08-31 8:30	$11.99	$12.20	2022-08-31 14:52	$0.21	1.75%	3.81%
65	Long	2022-08-31 15:46	$12.03	$12.19	2022-09-01 7:10	$0.17	1.40%	4.81%
66	Long	2022-09-01 12:43	$11.94	$12.15	2022-09-01 15:12	$0.21	1.74%	1.30%
67	Long	2022-09-01 18:12	$12.68	$12.85	2022-09-02 8:12	$0.18	1.40%	2.64%
68	Long	2022-09-02 12:30	$12.61	$12.78	2022-09-02 19:50	$0.18	1.40%	2.30%
69	Long	2022-09-02 22:16	$12.49	$12.75	2022-09-03 14:32	$0.25	2.03%	3.01%
70	Long	2022-09-03 14:56	$12.56	$12.75	2022-09-04 3:25	$0.19	1.47%	1.36%
71	Long	2022-09-04 16:49	$12.84	$13.24	2022-09-04 19:01	$0.39	3.07%	0.38%
72	Long	2022-09-04 21:21	$12.91	$12.10	2022-09-06 12:06	-$0.81	-6.25%	6.65%
73	Long	2022-09-06 12:11	$11.98	$12.16	2022-09-07 13:09	$0.19	1.54%	3.74%
74	Long	2022-09-07 17:54	$13.03	$13.25	2022-09-08 7:34	$0.21	1.63%	3.19%
75	Long	2022-09-08 7:46	$13.03	$13.52	2022-09-08 9:28	$0.50	3.82%	0.90%
76	Long	2022-09-08 18:18	$13.74	$14.05	2022-09-08 22:35	$0.30	2.20%	0.21%
77	Long	2022-09-09 6:44	$15.64	$15.97	2022-09-09 7:23	$0.33	2.11%	0.09%
78	Long	2022-09-09 13:03	$15.72	$15.95	2022-09-09 14:18	$0.23	1.43%	0.08%
79	Long	2022-09-09 16:55	$16.08	$16.29	2022-09-10 16:52	$0.22	1.34%	3.93%
80	Long	2022-09-10 18:50	$15.99	$16.08	2022-09-11 2:15	$0.09	0.58%	3.24%
81	Long	2022-09-11 7:06	$15.69	$15.97	2022-09-11 12:12	$0.28	1.77%	0.80%
82	Long	2022-09-11 16:51	$15.35	$15.60	2022-09-11 17:41	$0.26	1.67%	0.84%
83	Long	2022-09-11 19:23	$15.55	$15.94	2022-09-11 20:46	$0.40	2.55%	1.44%
84	Long	2022-09-11 21:09	$15.72	$15.98	2022-09-12 4:23	$0.26	1.65%	3.17%
85	Long	2022-09-12 7:22	$16.05	$15.20	2022-09-12 11:04	-$0.85	-5.29%	5.68%
86	Long	2022-09-12 11:09	$15.04	$15.34	2022-09-12 11:58	$0.30	2.01%	0.54%
87	Long	2022-09-12 16:19	$15.46	$15.78	2022-09-12 22:51	$0.32	2.06%	1.94%
88	Long	2022-09-13 7:33	$15.03	$15.36	2022-09-13 7:35	$0.33	2.18%	0.29%
89	Long	2022-09-13 14:09	$13.77	$14.01	2022-09-13 14:48	$0.24	1.74%	0.40%
