Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
18,Exit Long,Long Exit (all),2023-06-25 04:44,1907.23,0.2707,10.53,2.09,29.61,1.03,13.27,2.63,0.58,0.11
18,Entry Long,Pyramiding Entry,2023-06-24 21:15,1865.5,0.2707,10.53,2.09,29.61,1.03,13.27,2.63,0.58,0.11
17,Exit Long,Long Exit (all),2023-06-25 04:44,1907.23,0.1354,5.29,2.1,18.7,0.52,6.66,2.64,0.26,0.1
17,Entry Long,Long,2023-06-24 21:14,1865.32,0.1354,5.29,2.1,18.7,0.52,6.66,2.64,0.26,0.1
16,Exit Long,Close 50% of Position,2023-06-25 03:25,1887.66,0.1354,2.64,1.05,13.22,0.26,2.85,1.13,0.26,0.1
16,Entry Long,Long,2023-06-24 21:14,1865.32,0.1354,2.64,1.05,13.22,0.26,2.85,1.13,0.26,0.1
15,Exit Long,Long Exit (all),2023-06-23 15:10,1890.19,0.1344,2.29,0.91,11.15,0.23,3.13,1.24,1.44,0.57
15,Entry Long,Long,2023-06-23 02:04,1870.31,0.1344,2.29,0.91,11.15,0.23,3.13,1.24,1.44,0.57
14,Exit Long,Close 50% of Position,2023-06-23 15:07,1892.27,0.1344,2.57,1.02,8.66,0.26,3.02,1.2,1.44,0.57
14,Entry Long,Long,2023-06-23 02:04,1870.31,0.1344,2.57,1.02,8.66,0.26,3.02,1.2,1.44,0.57
