"Trade 	"	"Entry Date	"	"Buy Price	"	"Sell Price	"	"Exit Date	"	"P/L per token	"	"P/L %	"	"Drawdown %	"
1	2022-07-03 21:47	$1,055.81	$1,064.89	2022-07-04 4:45	$9.08	0.86%	1.06%
2	2022-07-03 21:48	$1,056.38	$1,064.89	2022-07-04 4:45	$8.51	0.81%	1.12%
3	2022-07-03 21:49	$1,055.53	$1,064.89	2022-07-04 4:45	$9.36	0.89%	1.04%
4	2022-07-03 22:01	$1,049.16	$1,064.89	2022-07-04 4:45	$15.73	1.50%	0.44%
5	2022-07-04 8:36	$1,095.82	$1,111.44	2022-07-04 10:05	$15.62	1.43%	1.12%
6	2022-07-04 8:37	$1,094.24	$1,111.44	2022-07-04 10:05	$17.20	1.57%	0.98%
7	2022-07-04 23:19	$1,142.70	$1,159.86	2022-07-05 0:21	$17.16	1.50%	0.08%
8	2022-07-05 3:07	$1,147.71	$1,094.92	2022-07-05 7:57	-$52.79	-4.60%	4.67%
9	2022-07-05 18:14	$1,140.74	$1,157.85	2022-07-06 13:39	$17.11	1.50%	2.64%
10	2022-07-06 14:49	$1,151.71	$1,167.89	2022-07-06 17:04	$16.18	1.40%	0.39%
11	2022-07-06 14:51	$1,151.28	$1,167.89	2022-07-06 17:04	$16.61	1.44%	0.35%
12	2022-07-06 14:52	$1,148.87	$1,167.89	2022-07-06 17:04	$19.02	1.66%	0.14%
13	2022-07-07 15:05	$1,240.04	$1,256.69	2022-07-07 20:27	$16.65	1.34%	1.28%
14	2022-07-07 15:06	$1,237.55	$1,256.69	2022-07-07 20:27	$19.14	1.55%	1.08%
15	2022-07-07 15:07	$1,238.85	$1,256.69	2022-07-07 20:27	$17.84	1.44%	1.18%
16	2022-07-07 15:09	$1,235.97	$1,256.69	2022-07-07 20:27	$20.72	1.68%	0.95%
17	2022-07-07 23:34	$1,254.10	$1,186.55	2022-07-09 21:30	-$67.55	-5.39%	5.46%
18	2022-07-08 0:54	$1,241.68	$1,186.55	2022-07-09 21:30	-$55.13	-4.44%	4.51%
19	2022-07-08 0:55	$1,242.88	$1,186.55	2022-07-09 21:30	-$56.33	-4.53%	4.61%
20	2022-07-08 2:11	$1,236.43	$1,186.55	2022-07-09 21:30	-$49.88	-4.03%	4.11%
21	2022-07-10 17:05	$1,166.98	$1,108.72	2022-07-11 17:11	-$58.26	-4.99%	5.07%
22	2022-07-10 17:06	$1,165.80	$1,108.72	2022-07-11 17:11	-$57.08	-4.90%	4.97%
23	2022-07-10 17:07	$1,164.41	$1,108.72	2022-07-11 17:11	-$55.69	-4.78%	4.86%
24	2022-07-10 20:24	$1,151.55	$1,108.72	2022-07-11 17:11	-$42.83	-3.72%	3.79%
25	2022-07-12 12:27	$1,073.33	$1,073.36	2022-07-13 3:34	$0.03	0.00%	3.79%
26	2022-07-12 14:04	$1,057.56	$1,073.36	2022-07-13 3:34	$15.80	1.49%	2.35%
