Contracts,Closing Direction,Qty,Entry Price,Exit Price,Closed P&L,Exit Type,Trade Time(UTC+0),Order No.,Create Time
AVAXUSDT,Close Long,194.5,13.425,13.555,22.136434,Trade,2022-11-15 19:18:52,f169b119,2022-11-15 19:18:52
ETHUSDT,Close Long,2.83,1216.13,1233.70,45.572194,Trade,2022-11-14 23:07:05,66127437,2022-11-14 23:07:05
ETHUSDT,Close Long,1.05,1254.35,1217.05,-40.56499182,Trade,2022-11-13 09:07:04,2d69ec94,2022-11-13 09:07:04
AVAXUSDT,Close Long,195.8,13.186,13.315,23.00372098,Trade,2022-11-13 04:01:57,246a1550,2022-11-13 04:01:57
AVAXUSDT,Close Long,182.9,14.543,14.145,-75.9377183,Trade,2022-11-11 14:20:07,7ce178c2,2022-11-11 14:20:07
ETHUSDT,Close Long,1.07,1268.70,1232.55,-40.2863025,Trade,2022-11-11 03:08:04,9e6bd535,2022-11-11 03:08:04
ETHUSDT,Close Long,2.13,1257.41,1277.45,39.4544542,Trade,2022-11-10 18:12:04,0aa74529,2022-11-10 18:12:04
ETHUSDT,Close Long,3.01,1148.97,1170.68,61.162716,Trade,2022-11-09 10:23:04,3ffc5508,2022-11-09 10:23:04
ETHUSDT,Close Long,2.1,1230.78,1249.05,35.2369109,Trade,2022-11-09 09:25:04,eb336189,2022-11-09 09:25:04
ETHUSDT,Close Long,1,1303.65,1265.25,-39.94134,Trade,2022-11-09 07:49:05,9bfeb50c,2022-11-09 07:49:05
BTCUSDT,Close Long,0.132,17663.50,18241.50,73.452324,Trade,2022-11-08 19:39:58,60216b18,2022-11-08 19:39:58
ETHUSDT,Close Long,1.86,1235.83,1298.79,114.282372,Trade,2022-11-08 19:35:06,0d83c672,2022-11-08 19:35:06
BTCUSDT,Close Long,0.116,19560.50,20135.50,63.54397823,Trade,2022-11-08 16:14:00,03472a3b,2022-11-08 16:14:00
AVAXUSDT,Close Long,138.3,16.258,16.440,22.5717886,Trade,2022-11-08 14:52:37,de20e150,2022-11-08 14:52:37
ETHUSDT,Close Long,2.47,1583.05,1542.50,-104.5755982,Trade,2022-11-08 02:55:07,0c8852c6,2022-11-08 02:55:07
BTCUSDT,Close Short,0.119,20763.00,20457.50,33.54151632,Trade,2022-11-07 22:47:05,1306a688,2022-11-07 22:47:05
ETHUSDT,Close Long,1.94,1575.42,1591.05,26.40354653,Trade,2022-11-07 05:45:19,b6518f37,2022-11-07 05:45:19
ETHUSDT,Close Long,0.73,1581.70,1574.35,-6.7478499,Trade,2022-11-06 23:14:05,b52b2c6e,2022-11-06 23:14:05
ETHUSDT,Close Long,2.48,1621.27,1582.75,-100.49870497,Trade,2022-11-06 23:13:04,c7aa50a5,2022-11-06 23:13:04
AVAXUSDT,Close Long,126.7,19.085,18.585,-66.2136734,Trade,2022-11-06 23:04:05,0c01cf4f,2022-11-06 23:04:05
ETHUSDT,Close Long,0.8,1527.90,1548.10,14.66334492,Trade,2022-11-04 04:00:43,1e3adf02,2022-11-04 04:00:43
AVAXUSDT,Close Long,136.6,17.890,18.120,28.4666204,Trade,2022-11-04 00:26:05,6f3c3e6d,2022-11-04 00:26:05
ETHUSDT,Close Long,0.81,1507.15,1534.35,20.59513404,Trade,2022-11-03 01:24:12,3ba7e4c9,2022-11-03 01:24:12
BTCUSDT,Close Long,0.12,20112.00,20111.00,-3.016056,Trade,2022-11-02 21:09:11,9755372d,2022-11-02 21:09:11
BTCUSDT,Close Short,0.147,20437.00,20115.00,44.06771142,Trade,2022-11-02 21:09:03,baa56fcb,2022-11-02 21:09:03
ETHUSDT,Close Long,0.76,1569.60,1588.55,12.90313869,Trade,2022-11-02 01:21:07,a1b8a5a7,2022-11-02 01:21:07
AVAXUSDT,Close Long,126.6,19.125,18.605,-68.86554303,Trade,2022-11-01 16:36:05,618b13b2,2022-11-01 16:36:05
ETHUSDT,Close Long,1.24,1567.63,1589.25,24.59580372,Trade,2022-11-01 02:47:17,770ea915,2022-11-01 02:47:17
ETHUSDT,Close Long,1.18,1585.53,1610.45,27.0422215,Trade,2022-10-31 09:45:07,1eb7bbd4,2022-10-31 09:45:07
AVAXUSDT,Close Long,103.5,18.375,18.580,18.54658935,Trade,2022-10-31 02:49:18,84966519,2022-10-31 02:49:18
AVAXUSDT,Close Long,101.2,18.525,18.820,27.63383999,Trade,2022-10-29 08:30:05,7c4ed086,2022-10-29 08:30:05
ETHUSDT,Close Long,1.63,1549.32,1541.80,-15.20803861,Trade,2022-10-27 11:06:14,8f689fe2,2022-10-27 11:06:14
ETHUSDT,Close Long,1.28,1458.25,1479.40,24.77688376,Trade,2022-10-26 01:43:05,fa70fd6c,2022-10-26 01:43:05
AVAXUSDT,Close Long,114.4,15.755,15.905,14.93623361,Trade,2022-10-25 13:35:39,fad70201,2022-10-25 13:35:39
ETHUSDT,Close Long,1.79,1354.91,1373.40,30.51166562,Trade,2022-10-25 13:35:07,180d7107,2022-10-25 13:35:07
ETHUSDT,Close Long,0.69,1312.30,1329.50,10.86871367,Trade,2022-10-23 18:14:06,8838347d,2022-10-23 18:14:06
AVAXUSDT,Close Long,114.4,15.637,15.850,22.2972871,Trade,2022-10-23 17:54:03,8270d822,2022-10-23 17:54:03
ETHUSDT,Close Long,2.24,1298.56,1311.20,25.00495745,Trade,2022-10-22 13:16:36,7463f200,2022-10-22 13:16:36
ETHUSDT,Close Long,0.7,1275.05,1294.30,12.41690908,Trade,2022-10-21 15:59:04,b8c7c623,2022-10-21 15:59:04
BTCUSDT,Close Long,0.117,19214.00,18821.00,-50.44554825,Trade,2022-10-21 12:12:05,b6eed626,2022-10-21 12:12:05
