"	Trade 	"	"	Signal	"	"	Entry Date	"	"	Buy Price	"	"	Sell Price	"	"	Exit Date	"	"	P/L per token	"	"	P/L %	"
1	Long	2022-01-20 16:00	$41,326.04	$39,383.71	2022-01-20 20:20	-$1,942.33	-4.85%
2	Long	2022-01-22 10:00	$34,838.69	$36,400.29	2022-01-23 17:20	$1,561.60	4.33%
3	Short	2022-01-23 17:20	$36,400.29	$33,453.52	2022-01-24 4:30	$2,946.77	8.10%
4	Long	2022-01-24 4:40	$33,574.85	$36,294.42	2022-01-24 12:40	$2,719.57	7.95%
5	Short	2022-01-29 14:40	$38,575.78	$36,340.53	2022-02-03 4:30	$2,235.25	5.79%
6	Long	2022-02-03 4:30	$36,340.53	$39,284.12	2022-02-04 9:10	$2,943.59	7.95%
7	Short	2022-02-04 10:30	$40,349.47	$42,609.06	2022-02-06 17:40	-$2,259.59	-5.60%
8	Short	2022-02-08 0:10	$45,000.85	$42,269.11	2022-02-11 13:10	$2,731.74	6.07%
9	Long	2022-02-11 13:10	$42,269.11	$44,233.18	2022-02-16 13:30	$1,964.07	4.50%
10	Short	2022-02-16 13:30	$44,233.18	$40,650.30	2022-02-17 15:00	$3,582.88	8.10%
11	Long	2022-02-20 0:40	$38,762.98	$36,941.12	2022-02-21 15:50	-$1,821.86	-4.85%
12	Long	2022-02-27 14:00	$37,604.40	$40,517.37	2022-02-28 9:20	$2,912.97	7.60%
13	Short	2022-02-28 9:20	$40,517.37	$42,786.34	2022-02-28 16:30	-$2,268.97	-5.60%
14	Short	2022-02-28 16:40	$43,641.74	$40,106.75	2022-03-04 13:40	$3,534.99	8.10%
15	Long	2022-03-04 14:20	$39,361.80	$37,511.79	2022-03-07 13:30	-$1,850.01	-4.85%
16	Short	2022-03-08 21:30	$40,256.11	$42,510.47	2022-03-09 6:30	-$2,254.36	-5.60%
17	Long	2022-03-09 20:20	$40,782.44	$38,865.65	2022-03-09 23:50	-$1,916.79	-4.85%
18	Short	2022-03-11 5:50	$40,110.27	$42,356.45	2022-03-19 15:40	-$2,246.18	-5.60%
19	Long	2022-03-20 21:50	$40,601.78	$43,890.54	2022-03-24 10:30	$3,288.76	7.95%
20	Short	2022-03-27 15:40	$46,332.10	$44,773.98	2022-04-05 19:20	$1,558.12	3.36%
21	Long	2022-04-05 19:20	$44,773.98	$42,669.59	2022-04-08 13:10	-$2,104.39	-4.85%
22	Short	2022-04-10 12:40	$43,258.81	$41,989.89	2022-04-10 17:50	$1,268.92	2.93%
23	Long	2022-04-10 17:50	$41,989.89	$40,016.35	2022-04-11 14:20	-$1,973.54	-4.85%
24	Short	2022-04-19 9:00	$41,451.52	$42,031.97	2022-04-21 11:10	-$580.45	-1.40%
25	Long	2022-04-21 11:10	$42,031.97	$40,056.46	2022-04-21 17:30	-$1,975.51	-4.85%
26	Long	2022-04-26 11:00	$38,563.94	$39,110.00	2022-04-27 3:10	$546.06	1.27%
27	Short	2022-04-27 3:10	$39,110.00	$37,934.90	2022-05-01 14:00	$1,175.10	3.00%
28	Long	2022-05-01 14:00	$37,934.90	$38,781.31	2022-05-04 3:10	$846.41	2.08%
29	Short	2022-05-04 3:10	$38,781.31	$38,992.53	2022-05-05 9:00	-$211.22	-0.54%
30	Long	2022-05-05 9:00	$38,992.53	$37,159.89	2022-05-05 10:00	-$1,832.64	-4.85%
31	Long	2022-05-05 10:10	$36,943.32	$35,206.98	2022-05-07 16:20	-$1,736.34	-4.85%
32	Short	2022-05-10 1:20	$32,274.48	$29,660.24	2022-05-11 7:40	$2,614.24	8.10%
33	Long	2022-05-11 8:00	$29,329.30	$31,704.98	2022-05-11 8:40	$2,375.68	7.95%
34	Short	2022-05-15 6:40	$30,186.56	$28,932.14	2022-05-20 11:20	$1,254.42	4.16%
35	Long	2022-05-20 11:20	$28,932.14	$29,432.97	2022-05-23 23:50	$500.83	1.58%
36	Short	2022-05-23 23:50	$29,432.97	$28,960.87	2022-05-24 9:00	$472.10	1.60%
37	Long	2022-05-24 9:00	$28,960.87	$30,164.86	2022-05-29 21:10	$1,203.99	4.01%
38	Short	2022-05-29 21:10	$30,164.86	$31,854.11	2022-05-30 16:20	-$1,689.25	-5.60%
39	Short	2022-06-04 17:10	$29,917.79	$31,593.19	2022-06-06 6:00	-$1,675.40	-5.60%
40	Long	2022-06-06 19:40	$30,413.51	$31,286.44	2022-06-07 14:50	$872.93	2.72%
41	Short	2022-06-07 14:50	$31,286.44	$28,752.23	2022-06-11 4:00	$2,534.21	8.10%
42	Long	2022-06-12 20:10	$26,220.10	$24,987.75	2022-06-12 22:10	-$1,232.35	-4.85%
43	Long	2022-06-13 18:20	$22,285.43	$21,238.01	2022-06-13 20:20	-$1,047.42	-4.85%
44	Long	2022-06-13 20:40	$21,081.34	$22,788.93	2022-06-14 0:20	$1,707.59	7.95%
45	Long	2022-06-14 23:20	$21,090.00	$22,798.31	2022-06-15 17:20	$1,708.31	7.95%
46	Long	2022-06-18 14:00	$18,215.77	$19,691.26	2022-06-19 5:20	$1,475.49	7.95%
47	Long	2022-06-19 20:10	$20,074.29	$21,700.30	2022-06-21 9:40	$1,626.01	7.95%
48	Short	2022-06-23 14:50	$20,889.21	$21,263.19	2022-06-26 10:20	-$373.98	-1.79%
49	Long	2022-06-26 10:20	$21,263.19	$20,263.82	2022-06-28 13:30	-$999.37	-4.85%
50	Long	2022-06-30 1:50	$19,480.11	$19,942.21	2022-06-30 19:00	$462.10	2.22%
51	Short	2022-06-30 19:00	$19,942.21	$19,409.23	2022-07-01 0:00	$532.98	2.67%
52	Long	2022-07-01 0:00	$19,409.23	$20,181.88	2022-07-05 14:20	$772.65	3.83%
53	Short	2022-07-05 14:20	$20,181.88	$21,312.08	2022-07-07 13:40	-$1,130.20	-5.60%
54	Short	2022-07-07 14:50	$21,743.34	$19,982.12	2022-07-11 17:50	$1,761.22	8.10%
55	Long	2022-07-12 14:40	$19,344.75	$20,438.01	2022-07-14 10:50	$1,093.26	5.50%
56	Short	2022-07-14 10:50	$20,438.01	$21,578.29	2022-07-16 12:20	-$1,140.28	-5.58%
57	Short	2022-07-17 21:50	$21,201.94	$22,392.28	2022-07-18 2:10	-$1,190.34	-5.61%
58	Short	2022-07-20 9:50	$24,052.52	$22,104.26	2022-07-23 7:00	$1,948.26	8.10%
59	Short	2022-07-27 13:40	$22,417.00	$23,673.04	2022-07-28 10:40	-$1,256.04	-5.60%
60	Short	2022-07-30 8:00	$24,377.50	$22,402.92	2022-08-04 13:10	$1,974.58	8.10%
61	Long	2022-08-09 5:30	$23,380.14	$23,885.87	2022-08-10 7:50	$505.73	2.01%
62	Short	2022-08-10 7:50	$23,885.87	$21,951.11	2022-08-19 1:30	$1,934.76	8.10%
63	Long	2022-08-22 13:50	$20,988.00	$21,442.93	2022-08-22 19:30	$454.93	2.02%
64	Short	2022-08-22 19:30	$21,442.93	$21,012.66	2022-08-23 0:40	$430.27	2.01%
65	Long	2022-08-23 0:40	$21,012.66	$20,025.05	2022-08-27 0:10	-$987.61	-4.85%
66	Short	2022-08-30 21:20	$20,355.26	$18,706.48	2022-09-06 15:00	$1,648.78	8.10%
67	Short	2022-09-12 3:10	$22,233.71	$20,432.99	2022-09-13 13:50	$1,800.72	8.10%
68	Short	2022-09-16 16:10	$19,736.45	$18,137.61	2022-09-21 17:10	$1,598.84	8.10%
69	Short	2022-09-26 22:20	$20,167.18	$18,534.85	2022-09-27 21:20	$1,632.33	8.09%
70	Short	2022-10-11 7:30	$19,242.95	$20,320.56	2022-10-25 13:20	-$1,077.61	-5.60%
71	Short	2022-10-31 17:39	$20,437.00	$20,115.00	2022-11-02 16:09	$322.00	1.58%
72	Short	2022-11-04 8:40	$20,763.00	$20,457.50	2022-11-07 16:47	$305.50	1.47%
73	Long	2022-11-07 22:20	$19,560.50	$20,135.50	2022-11-08 10:14	$575.00	2.79%
74	Long	2022-11-08 13:30	$17,663.50	$18,241.50	2022-11-08 13:39	$578.00	3.12%
75	Long	2022-11-20 18:20	$16,290.00	$15,966.50	2022-11-20 20:12	-$323.50	-2.14%
76	Short	2022-12-13 4:00	$17,427.82	$16,605.50	2022-12-19 12:04	$822.32	4.72%
77	Short	2023-01-11 19:00	$18,264.10	$19,287.01	2023-01-13 9:29	-$1,022.91	-5.60%
78	Short	2023-01-13 18:40	$20,932.51	$22,104.74	2023-01-20 14:30	-$1,172.23	-5.60%
79						$0.00	0.00%
