"	Trade 	"	"	Signal	"	"	Entry Date	"	"	Buy Price	"	"	Sell Price	"	"	Exit Date	"	"	P/L per token	"	"	P/L %	"
1	Short	2022-11-07 13:38	$1,608.00	$1,586.26	2022-11-07 15:36	$21.74	1.35%
2	Long	2022-11-07 15:36	$1,586.26	$1,562.45	2022-11-07 16:23	-$23.81	-1.50%
3	Long	2022-11-07 20:55	$1,544.59	$1,521.42	2022-11-07 21:20	-$23.17	-1.50%
4	Long	2022-11-08 12:21	$1,358.27	$1,385.45	2022-11-08 12:22	$27.18	2.00%
5	Long	2022-11-08 23:10	$1,287.19	$1,312.94	2022-11-08 23:45	$25.75	2.00%
6	Long	2022-11-09 4:20	$1,142.72	$1,165.57	2022-11-09 4:22	$22.85	2.00%
7	Long	2022-11-10 11:40	$1,256.80	$1,281.94	2022-11-10 12:11	$25.14	2.00%
8	Long	2022-11-13 0:35	$1,253.19	$1,234.39	2022-11-13 1:01	-$18.80	-1.50%
9	Short	2022-11-24 7:55	$1,201.21	$1,174.33	2022-11-24 22:40	$26.88	2.24%
10	Long	2022-11-24 22:40	$1,174.33	$1,197.24	2022-11-25 5:15	$22.91	1.95%
11	Long	2022-11-26 16:45	$1,202.73	$1,217.85	2022-11-27 4:40	$15.12	1.26%
12	Short	2022-11-27 4:40	$1,217.85	$1,187.40	2022-11-27 19:11	$30.45	2.50%
13	Short	2022-11-29 18:45	$1,273.58	$1,268.58	2022-11-29 21:30	$5.00	0.39%
14	Long	2022-11-29 21:30	$1,268.58	$1,293.96	2022-11-30 13:12	$25.38	2.00%
15	Long	2022-12-05 13:17	$1,254.30	$1,273.30	2022-12-06 17:57	$19.00	1.51%
16	Long	2022-12-07 15:39	$1,228.66	$1,232.83	2022-12-07 20:43	$4.17	0.34%
17	Short	2022-12-07 20:43	$1,232.83	$1,227.61	2022-12-07 23:23	$5.22	0.42%
18	Long	2022-12-07 23:23	$1,227.61	$1,242.88	2022-12-08 7:54	$15.27	1.24%
19	Long	2022-12-11 1:11	$1,273.47	$1,282.50	2022-12-11 13:09	$9.03	0.71%
20	Long	2022-12-18 3:31	$1,175.05	$1,192.07	2022-12-18 19:29	$17.02	1.45%
21	Long	2022-12-19 16:31	$1,170.78	$1,154.05	2022-12-19 16:37	-$16.73	-1.43%
22	Short	2022-12-24 1:29	$1,219.48	$1,189.00	2022-12-27 21:10	$30.48	2.50%
23	Short	2022-12-30 23:12	$1,196.18	$1,214.12	2023-01-02 1:16	-$17.94	-1.50%
24	Short	2023-01-07 1:11	$1,265.31	$1,284.29	2023-01-08 17:09	-$18.98	-1.50%
25	Long	2023-01-16 2:11	$1,529.32	$1,550.56	2023-01-16 9:50	$21.24	1.39%
26	Short	2023-01-23 14:58	$1,630.84	$1,613.83	2023-01-24 8:22	$17.01	1.04%
27	Long	2023-01-24 14:46	$1,608.18	$1,584.04	2023-01-24 16:26	-$24.14	-1.50%
